wallet,solana_amount,reward_sent,snapshot_date,date_sent
8obgngdUDLCJkza5MXQe3ZqYYRgx2Cb5s6KcByVqFZC5,0.658654839,YES,6/27/2025,7/4/2025
9oUf8zz2GheKd3xR7yV7aUMC2pv4TsyXq3UMbgzzp8ob,0.652270168,YES,6/27/2025,7/4/2025
5UdR3BmquykCiEYBqmPbQNVSDs9ZzJE4nc7RMmoxNiuW,0.631536246,YES,6/27/2025,7/4/2025
FeEncqbLJNESyiGPHNLNFUJ2vWwcnSUgTBSwuo7CDghB,0.622681014,YES,6/27/2025,7/4/2025
Hf2L7GDx5b3ULHk39sNErmHnfsiquy3wSrecWn6JJydv,0.622328004,YES,6/27/2025,7/4/2025
4VaxsF6VHjf9D74E6FBMNmhPyjDTxGm4ftrsC1DdXPYf,0.621582396,YES,6/27/2025,7/4/2025
duqvsscQAgX5Q8aEPfnuaYPtHTdoST6eJ8Vg492d1Rt,0.619227655,YES,6/27/2025,7/4/2025
A8DmoJ24FM8pBUsT67yAC7DfAQe5jQcQRCPCHcAoKzde,0.617906475,YES,6/27/2025,7/4/2025
p2TdGEp3TxVCfFn9RoHRP3GVbByDhaREk2fLSRpGrrS,0.617045381,YES,6/27/2025,7/4/2025
BUgLmE9wBTpJVkkoDFPSEy3vcoVPHxTipZWHLAg189EW,0.611942188,YES,6/27/2025,7/4/2025
cgVmDwv8BVmFLc6bq72GSj7xMAVwPRsbRAnRu6ZWB9J,0.611564747,YES,6/27/2025,7/4/2025
5gVvTtfmGvFMWPq2VgFdqun3wJHhXNuo21p2answM7Nd,0.610796687,YES,6/27/2025,7/4/2025
78KW4eHzC1ARvpCSEEiwW1zL4q9DG6vG65dFeF3gVgPT,0.602045818,YES,6/27/2025,7/4/2025
EpC2SxDhLcCPVUiTAgmQWZHfrRrFBDcXdAYCvaBu6fsN,0.599061488,YES,6/27/2025,7/4/2025
2Qu75Mt134bpVb3GjnnG75Ke2jDxXcCAkPv2YpZPye5d,0.595020314,YES,6/27/2025,7/4/2025
4gB7ZRPBW9R3gMVJo5AcU2X6VpDGsgFJGuVDRmEwGP5K,0.586651916,YES,6/27/2025,7/4/2025
HDHBGfZQs1ryPKhHP9p6EbpJ9mw61AWs6QyUNH6zQhcU,0.578750986,YES,6/27/2025,7/4/2025
6QcYtHwGiKmkFyFASEBQqeLPRqi5pDvPkmRScK1G675h,0.578437897,YES,6/27/2025,7/4/2025
CfPVyHLfNQaLqqTC1VF54RpXGcUT13h3VUhFcQotm9X9,0.574766341,YES,6/27/2025,7/4/2025
7fYZ1xjcT6gJ9gYDuchy4dEoS5jrt128LrMvd2BcVGf4,0.574103373,YES,6/27/2025,7/4/2025
BMqrNWbSLAjPcQAL3YBNm9YMaY7pYxXsr5qr4hcTYxU2,0.567459394,YES,6/27/2025,7/4/2025
9CMW6dkjcfnDW1EUL7q7Gyu3opbfpCpCcVwYmX937fE2,0.565079083,YES,6/27/2025,7/4/2025
8zpaJZuw8BYGEHTNxieYgo9dA8xL9wksAqqKApc6jnqs,0.558523287,YES,6/27/2025,7/4/2025
G2pyRU6tLziQyCTHmA8yY8dBKyAAGCYJeVYm4ajCjfhr,0.556286086,YES,6/27/2025,7/4/2025
8stf8xF4CPZjvFwA1i8UAiVDnTZwsZ7ThcaxnRDJGQ5B,0.554785567,YES,6/27/2025,7/4/2025
Auu1LXaygJmFnR2UKWTRJmD6RRSfkpKWvyQtpWhNv5hT,0.553992778,YES,6/27/2025,7/4/2025
D93sL2t4atfozx5iExsu2erLdbT6NHZxErYGx21Qj2Gm,0.551908993,YES,6/27/2025,7/4/2025
8XfekJmVGzrtdQgmXMh5wqiEAiapCLeZz4pHnRrKP2ak,0.548825361,YES,6/27/2025,7/4/2025
D5jx4wmxuPz18hqmgpCMLGVq3uSksCafCp5xjVe1nw8p,0.544810334,YES,6/27/2025,7/4/2025
7FbpsgESLvBMuLR8uavavbLSuMHzBNKQbSfFYZmM3b9k,0.543071124,YES,6/27/2025,7/4/2025
8fCc4nXhCg6kw8U4ud2dT2tdVjsgNrQpcJD86w25NSct,0.541217372,YES,6/27/2025,7/4/2025
BNt53i5N13Y8ZjSDvbXu9YEDnzrJkfWUL6ArVTubTaHZ,0.540976885,YES,6/27/2025,7/4/2025
3UQ1pN4zGCtTZA7rVifERfJb3m7CBtvfNfoM4aKPhCqm,0.540186034,YES,6/27/2025,7/4/2025
8cZc6VAwHSwBSEpkMMGSEaHDk4SgELpubbpBpkyUQhTX,0.534778571,YES,6/27/2025,7/4/2025
ArPY3UkNEJ5SVHfTtLE7XLW28R5bjQURGutQ14GGej81,0.532847716,YES,6/27/2025,7/4/2025
E7wnH1aMgaW1XGkhZKxV23zeg3u9gD9uvrRbYdbyQoGS,0.530140265,YES,6/27/2025,7/4/2025
APUarwr93NjKmqFndTJQ8pXxTs8q5KX6ULf6v9kbvpeH,0.529254353,YES,6/27/2025,7/4/2025
3Jx8yYN12MmHuTaRuWTiXcg3ZopY9V7bfKETrj1kNVLv,0.52568912,YES,6/27/2025,7/4/2025
DAAetspEHUmFy68AiF5Q244HTAAjwb4x1icbJL6fJZQC,0.52200081,YES,6/27/2025,7/4/2025
CsH3BjSyM1GZtfmsbWJJ6gaBAP96o5Dzzj6GNu8q6JE6,0.521551525,YES,6/27/2025,7/4/2025
3rY1CruDeEjSu7g6ojgsUCjsMtrE8Ltm8pmrFMFs7Jgc,0.518941817,YES,6/27/2025,7/4/2025
GaCZo1T2EMxaHCMvYL4bayv8a15WXCtsmpAn81xmAR9M,0.5179424,YES,6/27/2025,7/4/2025
4AbyxsZdRP7jQ5QKiHUvzcbDrhhyCaDLtvojeK5jYnK1,0.516037019,YES,6/27/2025,7/4/2025
5qBcEUWrFumP3wXuSR9xAF4Nm5vYqCkk2aE1Z74FXLcW,0.514362046,YES,6/27/2025,7/4/2025
7cMWshSbkycvAWGKNF8A3QFwpH8wLqrV6F6gJHQaCT1P,0.513655545,YES,6/27/2025,7/4/2025
8HbeRMXPiPmvuHpAFxHfQ58ntRkGeRGN2B8GS3rjN8ZY,0.511263896,YES,6/27/2025,7/4/2025
EZYcCVArp5ehA4KXWSn2pALBDscJDFD77yPmwgN9MHLc,0.510058839,YES,6/27/2025,7/4/2025
5rR66zS6ELhQTnzeuxDkpf9ChauE38xL95X6WgniXLG6,0.508694007,YES,6/27/2025,7/4/2025
2CfavY3DmKMfq7oeSVWxtBkz1y4c9qKD2mE7rnTL8uPq,0.50795315,YES,6/27/2025,7/4/2025
4NWk6vyBHFRRciNaAmSzMQBkcBuuxAJCp3UYDujBEqrq,0.507464166,YES,6/27/2025,7/4/2025
CojHFFTrTJRzYab3fFteBLf7SgFuoTDGno6xEK8fCLah,0.507427872,YES,6/27/2025,7/4/2025
F9RJmuQMQ8DRAmWZRGtfGzCc9KeG6FriV1VLtQGYzuTJ,0.502019642,YES,6/27/2025,7/4/2025
6gj1VxeEfS2FXhcf2eT6WPTV98KwaZcmMGW5kucMUZEu,0.501669886,YES,6/27/2025,7/4/2025
3rfaAAmxe7LeA1zhTNJYLbyr42NNm7XbXyyJ5vNRtyAE,0.498389625,YES,6/27/2025,7/4/2025
uiHiS1Qmm46vEmFrS3y9y7bAJqseVV3XrX4gNZizzEC,0.498097648,YES,6/27/2025,7/4/2025
HzMgwBuP9LboPD2W1V2GUUnyRFNRgCd3KGZfs1Pq2ZBm,0.492938985,YES,6/27/2025,7/4/2025
CryauiYbrFMKDcDmEyQ3AeTPYLSZLyWVb53gXp3EUPpx,0.492661753,YES,6/27/2025,7/4/2025
7kKkFLEHyg8CNZE97Ei4pmhp9usFTDgbgmvHQj1j6RCW,0.491461651,YES,6/27/2025,7/4/2025
FvQMK7tA6JcHKb7s8RemFK73AkmhamRY4zvJu6CvWCuk,0.49105568,YES,6/27/2025,7/4/2025
5PN9PFPH3oEix2A9mPYACvPfSNg6J8G5Va2hsqLTp22a,0.490416591,YES,6/27/2025,7/4/2025
9kipaBA3hrSkFFVhrJZus72PiXBv9HFSAMPwcayafmwg,0.490163992,YES,6/27/2025,7/4/2025
9ahJLjqXEPS29gU5aRNTC6dnbGFCqycAoEN5SeirwFLg,0.487781944,YES,6/27/2025,7/4/2025
43DUuwCb4eS9PAS929o4RDYNTtx9qHrA8QTTYV9CVJhR,0.486531534,YES,6/27/2025,7/4/2025
4mJf4hXoMpfazmki5D9kVLPCUUN7Ks2aEKUGESkYsacU,0.485744369,YES,6/27/2025,7/4/2025
2ecBNtk9HQZc4CmAfeQbkkgqmgmxGTkavKq9Wwv1uVaL,0.485315299,YES,6/27/2025,7/4/2025
9QfjhDXNN7v9kgqdYR2R8oHUPusUZbcqij6a9aJtbqmt,0.48472185,YES,6/27/2025,7/4/2025
5FMeLenD4CqxR7NSdAzWDqNgDRwRhfqee4nBDXuKMQw7,0.483796343,YES,6/27/2025,7/4/2025
5gfChZgsbEhpMDZok4HTSuU6qyNkLbDuq9NwHaxFS7Cx,0.483394955,YES,6/27/2025,7/4/2025
2sE4p6mZfvwuJussJZTo4F1cwWS75sm7sw5iNnKS5xPK,0.482982503,YES,6/27/2025,7/4/2025
DbsvzVwPKqwZz48YCLm36i5orWP5A69DQEWtSkjcR6V2,0.482315534,YES,6/27/2025,7/4/2025
FiEjmQabPYRjpJgVWmbVMuq7BNpZ3XBSwFibrqpdC9gV,0.480739148,YES,6/27/2025,7/4/2025
3m85uP8oYYeiws7vuy3iVWbjMFuvMkmvzESzSUv8b5vN,0.477580387,YES,6/27/2025,7/4/2025
Aroa6Xf9A3aZVuAttqSKo6bEXyQU6du1J7WLXQZiLw4a,0.477153292,YES,6/27/2025,7/4/2025
7AmfwLkQhhtLGWw66ZVxiJBEe3yAMMdasxWchgUrecuV,0.477114767,YES,6/27/2025,7/4/2025
6n9k6baRDabLQEYh2uP6H4nirGFS3hEeBjRELPuL3DQf,0.477004189,YES,6/27/2025,7/4/2025
56sNxZ3n8PsgLQMT7FN6z95KbbWXs2KTAhmza2TSV5sC,0.476469271,YES,6/27/2025,7/4/2025
6EpoZzNQgwX7sgVVybPvvQ4yLUpUevSm3g5m3RgZMLxi,0.476450009,YES,6/27/2025,7/4/2025
DPy4qyFuLAMEcXppMyDuoS3Gi2VCv753YuPDZtJYXN5K,0.476416845,YES,6/27/2025,7/4/2025
5181Hfjkp6VGDdr1Nuz2oqdzQDe1VTfrNgKVYmhHEVgd,0.476415311,YES,6/27/2025,7/4/2025
7XjM5zhC63HyQBQ6dvWC8qMuMbjYMa8zg1fdsdWsknCG,0.47632901,YES,6/27/2025,7/4/2025
EobNMC5FmwKRzzaiTUUC5F3u8gg33AEy4pG7HmaE78f8,0.476328966,YES,6/27/2025,7/4/2025
6s3NtoktsnXdFosU7g815zSVuuTrF1yuyZWXvBHaVUtS,0.474620404,YES,6/27/2025,7/4/2025
BLMbB5wxwJGYgpxMeyPPawk1V9xvxmEXwhYTwwNhfLdt,0.474458349,YES,6/27/2025,7/4/2025
CiTi69DfoK5hf6XJRrBA3ivC8DSPhvUTZXjSj59gSxpN,0.46790667,YES,6/27/2025,7/4/2025
4fHWJseRvTc8mtQ4ExR2TQLNQyk1brvdmWV2S3V9q4qq,0.467225698,YES,6/27/2025,7/4/2025
JBFrGp6wxKWoJ7UuHUN3vyc9kqtHoEs9StMBBNJFt5tK,0.459627098,YES,6/27/2025,7/4/2025
9XwuiMZSMFEPNXpgvoerVEtdQXqVXt3Gavfz9mRGExHF,0.458617808,YES,6/27/2025,7/4/2025
D8LGHQwULgjWq29sqYNtfP3p3dJRYojfsHY4ySrDRdrY,0.457729806,YES,6/27/2025,7/4/2025
6KkVXFr1wjgBWknznCxaLySFzjajv7g3926XyKUi4DCy,0.456585871,YES,6/27/2025,7/4/2025
567LypVE4CdMuJ6Rz97nowzT6kf5sAdgusb6idsiETJ7,0.451840298,YES,6/27/2025,7/4/2025
47KdMyR8Fb9aLhk6YQEP3CPGVFrCvf72x41JhUXwKdni,0.449287975,YES,6/27/2025,7/4/2025
EqdhUcaStKpkdXCFAWCpnAAM3AbUU5He617XH85WwfaP,0.446309062,YES,6/27/2025,7/4/2025
pvn7z6i3GyaMAnNaLPGjTB4xNHFVHr1v4YJoj3gjFY7,0.357321144,YES,6/27/2025,7/4/2025
E7Ps1ACdb8KD2TXAQ7aNDbfqxi1ABBVhMWRV3CDo6Pf8,0.352549751,YES,6/27/2025,7/4/2025
FVadGY39rPXvkvUDu4g78AjVk2RyuxCg7ZaHs42bs5Kc,0.342715339,YES,6/27/2025,7/4/2025
BEJ2FzDXXCKZdo4UU25AJ6Fduy6qu2v66Cgth2DdNM3G,0.339775256,YES,6/27/2025,7/4/2025
HjTK5LavCT66kbmi6PwsfTo8Fkx6NoZiVcxbeBz6prXz,0.335075329,YES,6/27/2025,7/4/2025
5mqsu1eaMHc2eD5KHCphTFb4CcY7HaTRnvbZgA7sxS3u,0.316285946,YES,6/27/2025,7/4/2025
Hu9yrVUNh62bdb3Jivajamv8PCmVUqmitGp8iAEJ5oDP,0.310428267,YES,6/27/2025,7/4/2025
3p3waR5U4AvZ2Txs7s6SXEqtuxTdukBn2TAGMUVm3kwN,0.310252042,YES,6/27/2025,7/4/2025
G3MYUn4pzTe3yY4EyoHLHC2u4uJ1ziZf7QUTUfnxWq3C,0.309613828,YES,6/27/2025,7/4/2025
AHA1qKsL8NUaYvmnarX9ndAVbDoxrJsLeUNdzBsnKvHA,0.308231096,YES,6/27/2025,7/4/2025
DzciybRbVhSCCdSUcmmzYaoP7AoJTbp9oosunHWm2BCe,0.305606031,YES,6/27/2025,7/4/2025
63BoGB57Q2xLm9PHwi79NPCGtzqWJNMcyCGmb7fLm9gU,0.303113463,YES,6/27/2025,7/4/2025
EiRWC9fFrkvUpCt8Ahun6cd48V7nQ2QnuduXdsNkrsbb,0.301479006,YES,6/27/2025,7/4/2025
2f59TkMw3Ni5tBm2zy5A6qJVXq7Qae1YCq9k74nUfQBC,0.299704433,YES,6/27/2025,7/4/2025
vzUiTG7btMzdCh2jnQLduwHF9imeu7SZxE6MFoygRfe,0.294845829,YES,6/27/2025,7/4/2025
GYaZCQe64UQbeBX2Lx1S9Le1kBNAkrHaZ4BwwehEipLM,0.2903948,YES,6/27/2025,7/4/2025
GHc2J96RbFqKcuHpessHNMVu5BYxenXvcTzECPwQSDnj,0.289420174,YES,6/27/2025,7/4/2025
4TcT4pWpjyB1dCCFShme9KEUXWTPamnuPniZTe4H7fFM,0.288848297,YES,6/27/2025,7/4/2025
FHwD2VmF3FMQhwE1eYB6UMCYGgajFStx3tpZpYQ3A4hq,0.288461594,YES,6/27/2025,7/4/2025
HkUMbGXCT3TbDYtDDdr4uDeDePtStaztu4r5QvtPRo5i,0.286791498,YES,6/27/2025,7/4/2025
B4gPTAfZa7iWPXwcHSfW9SZvQJS5M7a8cZQeijnk9HEe,0.285797379,YES,6/27/2025,7/4/2025
EHAiLqByP8YMN9N9uJdnn139cX459BkJ5iLNUjUwG5Sd,0.28466109,YES,6/27/2025,7/4/2025
Cxv45yxzci3sXBvGqgyxLxfuiEkfZ2ZtQnBFgGrPqHPh,0.283993501,YES,6/27/2025,7/4/2025
EheW2erz8Xu8xjTY7SfNrNi1uF36egxfAdWhJ5Nb3kMN,0.283870926,YES,6/27/2025,7/4/2025
E7VvpTy9tSEMQvLL2Nuw8LoBUvAJGPpDyKjEPpNCGN35,0.281566402,YES,6/27/2025,7/4/2025
Ged6PkrAJ7drE94gwBFL1sVDkUdH6CYm4y1TChz17FR2,0.280296819,YES,6/27/2025,7/4/2025
2epcXRFrgEjLjCbtXkSKMrmVTERUfADbcDptEDKCM43n,0.279472952,YES,6/27/2025,7/4/2025
CwzpP2qfYfSQPeKQ3qeJm8Ajs5Tox8iSPtAQB1y5fmbg,0.279396171,YES,6/27/2025,7/4/2025
5pnskHme1tqqQcfmYAFNGVZrLSkDnntF4ZFAmSG12Zdb,0.278725073,YES,6/27/2025,7/4/2025
6VrY4D4Mb48uESsEjKMKJ86um1zMBC6V1ptbvm72FhbU,0.276630945,YES,6/27/2025,7/4/2025
FFu1CVcthLXzPMcAof2vjNdbCr9WkKycvdm4PHZF164v,0.275752742,YES,6/27/2025,7/4/2025
9Kd6dP81cHCRBRwQfVfaQwqJc9o1HGwrVYP4VKz2vwnC,0.271190913,YES,6/27/2025,7/4/2025
FYTjLVuuWK2dicV4fz11yR2CLoPmTV3ErRTLvvju3NpX,0.270874504,YES,6/27/2025,7/4/2025
3J81pzYFRdvvYsDp8yZThcZRZqjRfJeybUGt7CcwUDkE,0.270428629,YES,6/27/2025,7/4/2025
CWN2VHJL3uidPAodAmMYZUQjaK5CpEQK9vAHiQcVMd5X,0.270051473,YES,6/27/2025,7/4/2025
FeK4NoE7N6zYmX3U9umK37foQQSG8ESYv2dyHkpWDwmp,0.269068126,YES,6/27/2025,7/4/2025
4LXGm7UQ9CSwt6DggoUin78qojUGoPjPS9zMW5f2xhvE,0.267752568,YES,6/27/2025,7/4/2025
CE3ZSX6SrGD63GBwH7RsBA6mBd8Zx2o3MHw9SvLMFrmo,0.267335896,YES,6/27/2025,7/4/2025
FqkLZekNXTbECgUtgxbaZgKpyMYKfiXiaeNiX73v3vdP,0.265358315,YES,6/27/2025,7/4/2025
5uv47846Hwe38yh5cLtgt2vWpBp6G55SU9eEKi7X5chR,0.265145663,YES,6/27/2025,7/4/2025
3TZY9zbGwDWAaXrktTb5koFRWRh3xcUbgZKzaE9Cbzkx,0.264755452,YES,6/27/2025,7/4/2025
4Lg6SF2BAgQUhjN2dSzBHXpftFvV8qbVvVhfPTs7AgF1,0.26385171,YES,6/27/2025,7/4/2025
3KAREMT3Tf6GckGCVfLw1DmKyYsJcTQDNSVt3FuAmDyh,0.263238369,YES,6/27/2025,7/4/2025
